,Season,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
43,2019,Stephen Curry,PG,30.0,GSW,22.0,22.0,38.5,8.6,19.6,0.441,4.2,11.1,0.377,4.5,8.5,0.524,0.548,6.7,7.1,0.943,0.8,5.2,6.0,5.7,1.1,0.2,3.0,3.1,28.2
44,2019,Ed Davis,C,29.0,BRK,3.0,0.0,13.7,2.3,3.3,0.7,0.0,0.0,,2.3,3.3,0.7,0.7,0.7,0.7,1.0,1.3,5.0,6.3,0.7,0.0,0.3,0.0,3.0,5.3
45,2019,DeMar DeRozan,SG,29.0,SAS,7.0,7.0,35.9,8.3,17.0,0.487,0.0,0.1,0.0,8.3,16.9,0.492,0.487,5.4,6.3,0.864,1.4,5.3,6.7,4.6,1.1,0.1,1.7,2.3,22.0
46,2019,Spencer Dinwiddie,PG,25.0,BRK,5.0,0.0,26.2,5.4,12.4,0.435,1.8,4.8,0.375,3.6,7.6,0.474,0.508,2.0,2.8,0.714,0.8,1.8,2.6,1.6,0.4,0.0,1.6,2.0,14.6
47,2019,Andre Drummond,C,25.0,DET,4.0,4.0,31.8,6.0,13.5,0.444,0.0,0.3,0.0,6.0,13.3,0.453,0.444,2.3,5.3,0.429,5.0,8.0,13.0,2.3,1.5,1.3,2.8,4.3,14.3
48,2019,Jared Dudley,PF,33.0,BRK,4.0,2.0,20.5,0.8,2.8,0.273,0.5,2.3,0.222,0.3,0.5,0.5,0.364,1.0,1.0,1.0,0.0,0.5,0.5,2.8,0.8,0.3,1.0,2.5,3.0
49,2019,Kevin Durant,SF,30.0,GSW,12.0,12.0,36.8,10.4,20.3,0.514,2.9,6.7,0.438,7.5,13.6,0.552,0.586,8.5,9.4,0.903,0.1,4.8,4.9,4.5,1.1,1.0,3.6,3.2,32.3
50,2019,Wayne Ellington,SG,31.0,DET,4.0,4.0,32.8,2.8,8.8,0.314,1.8,5.5,0.318,1.0,3.3,0.308,0.414,0.5,0.5,1.0,0.8,3.0,3.8,1.3,0.8,0.0,0.5,1.0,7.8
51,2019,Joel Embiid,C,24.0,PHI,11.0,11.0,30.4,6.2,14.5,0.428,1.1,3.5,0.308,5.1,10.9,0.467,0.465,6.7,8.2,0.822,1.9,8.5,10.5,3.4,0.7,2.3,3.6,3.1,20.2
52,2019,James Ennis III,SF,28.0,PHI,11.0,0.0,21.1,2.8,5.8,0.484,0.8,2.9,0.281,2.0,2.9,0.688,0.555,1.1,1.7,0.632,1.5,2.4,3.8,1.1,0.4,0.3,0.9,2.8,7.5
53,2019,Jacob Evans,SG,21.0,GSW,7.0,0.0,2.6,0.3,0.7,0.4,0.1,0.3,0.5,0.1,0.4,0.333,0.5,0.0,0.0,,0.0,0.1,0.1,0.1,0.0,0.0,0.3,0.1,0.7
54,2019,Tyreke Evans,SG,29.0,IND,4.0,0.0,21.0,5.3,12.0,0.438,2.8,5.0,0.55,2.5,7.0,0.357,0.552,2.0,3.5,0.571,0.0,4.3,4.3,0.8,0.8,0.3,1.5,2.0,15.3
55,2019,Kenneth Faried,C,29.0,HOU,6.0,0.0,9.3,1.5,2.2,0.692,0.2,0.2,1.0,1.3,2.0,0.667,0.731,0.8,1.0,0.833,0.5,3.0,3.5,0.3,0.3,0.0,0.0,1.0,4.0
56,2019,Derrick Favors,C,27.0,UTA,5.0,2.0,20.6,4.6,7.2,0.639,0.0,0.6,0.0,4.6,6.6,0.697,0.639,2.6,3.8,0.684,3.0,4.4,7.4,0.8,0.8,1.8,1.0,2.4,11.8
57,2019,Raymond Felton,PG,34.0,OKC,5.0,0.0,11.4,0.8,2.6,0.308,0.4,1.6,0.25,0.4,1.0,0.4,0.385,0.2,0.4,0.5,0.0,0.6,0.6,0.6,0.8,0.2,0.4,1.4,2.2
